COURT NAME,ADDRESS,PHONE,FAX,JUDGE,CT ADMIN,COURT CODE,OFFICE HOURS,COUNTY
ABERDEEN TWP MUNICIPAL COURT,1 ABERDEEN SQ ABERDEEN NJ 07747,732-583-4200,7325665912,"MICHAEL CELLI,JR",MICHELE T WIECZORECK,1330,8:30AM - 4:30PM,MONMOUTH
ABSECON MUNICIPAL COURT,500 MILL ROAD ABSECON NJ 08201,609-641-0663,6096418456,JOHN H ROSENBERGER,MERRILEE CARLSON,101,8:30AM - 4:30PM,ATLANTIC
ALEXANDRIA TWP MUNICIPAL COURT,ONE MUNICIPAL DR FLEMINGTON NJ 0882,908-782-8818,9088066478,CHARLES E. CARRO,BIANCA WATKING,1001,8:30AM - 4:30PM,HUNTERDON
ALLAMUCHA TWP MUNICIPAL COURT,BOX A ALPHANO RD ALLAMUCHY NJ 07820,908-852-6667,9088520129,LOUIS MELLINGER,DAWN DWCKER,2101,MON-THURS 9:00AM-2:00PM,WARREN
ALLENDALE BORO MUNICIPAL COURT,333 WARRREN AVE HO-HO-KUS NJ 07423,201-652-0699,2018251913,HARRY D NORTON,ROSEMARIE NOVELLI,201,MON-FRI 9:00A-4:00P CLOSED 1-2,BERGEN
ALLENHURST BORO MUNICIPAL CT,701 MAIN ST. BRADLEY BEACH NJ 07720,732-776-2999,7328975813,PAUL CAPOTORTO,PATRICIA MEGILL,1301,MON - FRI 8:30AM-4:00PM,MONMOUTH
ALLENTOWN MUNICIPAL COURT,314 ROUTE 539 CREAM RIDGE NJ 08514,609-758-0262,6097585630,"SCOTT J BASEN, ESQ","KAREN SPICUZZA, CMCA",1302,CALL FOR HOURS,MONMOUTH
ALLOWAY TWP MUNICIPAL,1180 ROUTE 40 PILESGROVE NJ 08098,856-769-1275,8569352993,NICHOLAS T LACOVARA,DEBRA A. SCOTT,1701,M/TH 9AM-1PM T/W 9AM-3PM,SALEM
ALPHA BORO MUNICIPAL COURT,1001 EAST BLVD ALPHA NJ 08865,908-454-3211,9084544083,GERARD SHAMEY,LAURI KAULIUS,2102,"COURT AT-1001 E.BLVD, ALPHA,NJ",WARREN
ALPINE BORO MUNICIPAL COURT,100 CHURCH ST ALPINE NJ 07620,201-768-6866,2017841407,ROBERT J COHAN,DAWN CURATOLA,202,TUES & THURS 4:30PM - 6:30PM,BERGEN
ANDOVER JOINT MUNICIPAL COURT,134 NEWTON-SPARTA RD NEWTON NJ 07860,973-306-0688,9733836328,JAMES G DEVINE,MICHAEL ALLATTA,1902,MON - FRI 8:00AM - 4:00PM,SUSSEX
ASBURY PARK MUNICIPAL COURT,ONE MUNICIPAL PLAZA ASBURY PARK NJ 07712,732-775-1765,7329886935,RONALD J TROPPOLI,JOANNE N PILLIOD,1303,8:00 AM - 4:00 PM,MONMOUTH
ATL HIGHLANDS MUNICIPAL COURT,100 FIRST AVE ATL HIGHLNDS NJ 07716,732-291-3225,7322913100,RICHARD C LEAHEY JR,JANICE SWAGGERTY,1305,MON - FRI 8:30AM - 4:30PM,MONMOUTH
ATLANTIC CITY MUNICIPAL COURT,2715 ATLANTIC AVENUE ATLANTIC CITY NJ 08401,609-347-5560,6093475450,BILLIE J MOORE CJMC,GINA Y HOLMES,102,8:30AM - 6:00PM,ATLANTIC
ATLANTIC COUNTY CENTRAL MC,5905 MAIN STREET MAYS LANDING NJ 08330,609-909-5999,6099095992,IMOTHY P MAGUIRE,ANTOINETTE TUMMON,180,MON - FRI 8:30AM - 4:30PM,ATLANTIC
AUDUBON BORO MUNICIPAL COURT,606 W. NICHOLSON RD. AUDUBON NJ 0816,856-547-0712,,CHARLES SHIMBERG,JEAN L PHILLIPS,401,9:00 AM - 4:00 PM M-F,CAMDEN
AUDUBON PARK BORO COURT,135 HADDON AVE HADDON TWP NJ 07108,856-854-1176,8568588335,ROBERT A. GLEANER,LAURA DONOHUE,402,8:30AM - 4:00PM M-F,CAMDEN
AVALON MUNICIPAL COURT,3100 DUNE DRIVE AVALON,609-967-4457,6099675659,ANDREW J CAFIERO,WENDY TORRONI,501,8:30AM - 4:00PM,CAPE MAY
AVON-BY-THE-SEA MUNICIPAL CT,701 MAIN ST BRADLEY BEACH NJ 07720,732-776-2999,7328975813,PAUL J CAPOTORTO,PATRICIA MEGILL,1306,MON - FRI 8:30AM - 4:00PM,MONMOUTH
BARNEGAT LIGHT MUNICIPAL COURT,PO BOX 966 BARNEGT LIGHT NJ 08006,609-361-6661,6094947337,DAMIAN G. MURRAY,MAUREEN DANIELS,1501,MON & THURS 4PM - 6PM,OCEAN
BARNEGAT TOWNSHIP MUNICIPAL CO,900 WEST BAY AVE BARNEGAT NJ 08008,609-698-0080,6096988746,PHILIP M MILLER,LAUREN L. ROMANO,1533,8:30AM - 4:30PM,OCEAN
BARRINGTON MUNICIPAL COURT,500 WHITE HORSE PIKE,856-858-0074,8568540180,KRISDEN MCCRINK,DAWN ABATE-HIRST,403,"MON-THUR 8AM-4PM, FRI 8AM-12PM",CAMDEN
...
